Material Description,Material Price,Vendor Location,Link,Formatted Datetime
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,10/28/2022 13:28:58
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.99,lowes,https://www.lowes.com/pd/Halex-3-4-in-EMT-STEEL-SET-SCREW-CONNECTOR-5-BAG/1002846668,10/28/2022 13:28:58
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.69,com/p/halex-screw-emt-conduit-connector-051411262723,https://goldbeachlumber.com/p/halex-screw-emt-conduit-connector-051411262723,10/28/2022 13:28:58
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,10/28/2022 13:28:58
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,ebay,https://www.ebay.com/itm/363478081520,10/28/2022 13:28:58
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117.0,socalelectric,https://www.socalelectric.com/products/250-ft-14-2-romex-simpull-solid-nm-b-w-g-wire,10/28/2022 13:28:58
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,10/28/2022 13:28:58
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,10/28/2022 13:28:58
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,161.21,ebay,https://www.ebay.com/b/12-2-Romex/92078/bn_7023251333,10/28/2022 13:28:58
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,10/28/2022 13:28:58
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,10/28/2022 13:28:58
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,https://www.ebay.com/p/17040228268,10/28/2022 13:28:58
500 ft. 6 Gauge Black Stranded Copper THHN Wire,379.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,10/28/2022 13:28:58
500 ft. 6 Gauge Black Stranded Copper THHN Wire,470.43,amazon,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,10/28/2022 13:28:58
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,https://www.ebay.com/itm/203860011450,10/28/2022 13:28:58
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257/202316335,10/28/2022 13:28:58
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,10/28/2022 13:28:58
500 ft. 10 Gauge Black Stranded Copper THHN Wire,165.0,wireandcableyourway,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,10/28/2022 13:28:58
